"Time","Symbol","Side","Type","Size","Price","Trade Value","Fee","Realized PnL"
"2025-11-15 13:35:31","MON","Close Long","Fulfill Maker","894 MON","0.04559","$40.76","$0.01","-$1.3"
"2025-11-15 13:35:25","MON","Close Long","Fulfill Maker","1 MON","0.04559","$0.05","$0","-$0"
"2025-11-15 13:35:05","MON","Close Long","Fulfill Maker","1 MON","0.04559","$0.05","$0","-$0"
"2025-11-15 13:35:01","MON","Close Long","Fulfill Maker","1967 MON","0.04559","$89.68","$0.01","-$2.87"
"2025-11-15 13:34:44","MON","Close Long","Fulfill Maker","1 MON","0.04559","$0.05","$0","-$0"
"2025-11-15 13:34:04","MON","Close Long","Fulfill Maker","1 MON","0.04559","$0.05","$0","-$0"
"2025-11-15 13:04:44","ZEC","Close Long","Fulfill Taker","0.3 ZEC","661.53","$198.46","$0.08","-$10.83"
"2025-11-15 12:14:36","MON","Open Long","Fulfill Taker","2865 MON","0.04704","$134.77","$0.05","-$0.05"
"2025-11-15 12:14:18","MON","Close Long","Fulfill Maker","2700 MON","0.04649","$125.52","$0.02","+$3.22"
"2025-11-15 11:35:06","MON","Open Long","Fulfill Taker","2700 MON","0.04529","$122.28","$0.05","-$0.05"
"2025-11-15 11:25:44","LTC","Close Long","Fulfill Taker","1 LTC","104.71","$104.71","$0.04","-$1.88"
"2025-11-15 11:19:53","ZEC","Open Long","Fulfill Taker","0.3 ZEC","697.37","$209.21","$0.08","-$0.08"
"2025-11-15 11:15:50","ZEC","Close Short","Fulfill Taker","0.32 ZEC","692.7","$221.66","$0.09","-$8.87"
"2025-11-15 10:25:16","VIRTUAL","Close Short","Fulfill Taker","178.8 VIRTUAL","1.1548","$206.48","$0.08","-$4.45"
"2025-11-15 10:20:12","PUMP","Close Short","Fulfill Taker","58006 PUMP","0.003587","$208.07","$0.08","-$4.26"
"2025-11-15 09:59:56","LTC","Open Long","Fulfill Taker","1 LTC","106.55","$106.55","$0.04","-$0.04"
"2025-11-15 09:35:40","XPL","Close Short","Fulfill Taker","917 XPL","0.2353","$215.77","$0.09","-$5.4"
"2025-11-15 08:04:32","XPL","Open Short","Fulfill Taker","917 XPL","0.2295","$210.45","$0.08","-$0.08"
"2025-11-15 07:35:07","PUMP","Open Short","Fulfill Taker","58006 PUMP","0.003515","$203.89","$0.08","-$0.08"
"2025-11-15 07:00:41","UNI","Close Long","Fulfill Taker","18.9 UNI","7.266","$137.33","$0.05","-$1.27"
"2025-11-15 07:00:41","UNI","Close Long","Fulfill Taker","8.1 UNI","7.267","$58.86","$0.02","-$0.53"
"2025-11-15 06:15:07","ASTER","Close Short","Fulfill Taker","194.4 ASTER","1.13459","$220.56","$0.09","-$0.36"
"2025-11-15 05:53:46","VIRTUAL","Open Short","Fulfill Taker","178.8 VIRTUAL","1.1304","$202.12","$0.08","-$0.08"
"2025-11-15 05:49:40","ZEC","Open Short","Fulfill Taker","0.32 ZEC","665.26","$212.88","$0.09","-$0.09"
"2025-11-15 05:32:32","CRV","Close Long","Fulfill Taker","0.1 CRV","0.441","$0.04","$0","-$0"
"2025-11-15 05:24:19","PENGU","Close Long","Fulfill Taker","15646 PENGU","0.013181","$206.23","$0.08","-$2.87"
"2025-11-15 05:15:12","ZEC","Close Long","Fulfill Taker","0.37 ZEC","685.31","$253.56","$0.1","-$8.49"
"2025-11-15 05:12:06","ASTER","Open Short","Fulfill Taker","194.4 ASTER","1.13319","$220.29","$0.09","-$0.09"
"2025-11-15 05:06:01","FARTCOIN","Close Long","Fulfill Taker","887.1 FARTCOIN","0.2474","$219.47","$0.09","-$4.26"
